Metric;Path;Package;Class;LineNo;Value;Violation
CBO;wizmachine/services/base/isprworkmanageradvance.cs;;ISprWorkManagerAdvance;7;0;N
CBO;wizmachine/data/certdata.cs;;CertInfo;10;0;N
CBO;wizmachine/data/sprdata.cs;;US_SprFileHead;9;0;N
CBO;wizmachine/data/sprdata.cs;;SprFileHead;79;1;N
CBO;wizmachine/data/sprdata.cs;;SprFileHead$SprFileHeadCache;165;2;N
CBO;wizmachine/data/sprdata.cs;;PaletteColor;287;0;N
CBO;wizmachine/data/sprdata.cs;;Palette;335;1;N
CBO;wizmachine/data/sprdata.cs;;Palette$PaletteCache;338;1;N
CBO;wizmachine/data/sprdata.cs;;FrameOffsetInfo;467;0;N
CBO;wizmachine/data/sprdata.cs;;FrameInfo;473;0;N
CBO;wizmachine/data/sprdata.cs;;FrameRGBA;481;1;N
CBO;wizmachine/data/sprdata.cs;;FrameRGBA$FrameRGBACache;512;2;N
CBO;wizmachine/enginekeeper.cs;;EngineKeeper;10;2;N
CBO;wizmachine/services/base/isprworkmanagercore.cs;;ISprWorkManagerCore;13;6;N
CBO;wizmachine/services/impl/sprworkmanageradvance.cs;;SprWorkManagerAdvance;11;6;N
CBO;wizmachine/services/impl/sprworkmanagercore.cs;;SprWorkManagerCore;13;15;N
CBO;wizmachine/services/utils/nativeengine.cs;;NativeEngine;11;0;N
CBO;wizmachine/services/utils/nativeengine.cs;;NativeEngine$NFrameInfo;13;0;N
CBO;wizmachine/services/utils/nativeengine.cs;;NativeEngine$NFrameData;21;0;N
CBO;wizmachine/services/utils/nativeengine.cs;;NativeEngine$NSPRFileHead;31;0;N
CBO;wizmachine/services/utils/nativeengine.cs;;NativeEngine$NColor;47;0;N
CBO;wizmachine/services/utils/nativeengine.cs;;NativeEngine$CertInfo;91;0;N
CBO;wizmachine/services/utils/nativeengine.cs;;NativeAPIAdapter;109;5;N
CBO;wizmachine/utils/bitmaputil.cs;;BitmapUtil;11;9;N
CBO;wizmachine/utils/certmanagerutil.cs;;CertManagerUtil;13;5;N
CBO;wizmachine/utils/colorutil.cs;;ColorUtil;7;2;N
CBO;wizmachine/utils/extension.cs;;Extension;9;4;N
CBO;wizmachine/utils/extension.cs;;SharpExtension;73;6;N
CBO;wizmachine/utils/logger.cs;;Logger;8;3;N
CBO;wizmachine/utils/logger.cs;;Logger$Raw;59;2;N
