Metric;Module;FilePath;BLOC;FunctionCnt;BLOCxFunctionCnt
GM;{TOP}\wizmachine/services/base;wizmachine/services/base/isprworkmanageradvance.cs;30;0;30
GM;{TOP}\wizmachine/data;wizmachine/data/certdata.cs;18;0;18
GM;{TOP}\wizmachine/data;wizmachine/data/sprdata.cs;602;66;39732
GM;{TOP}\wizmachine;wizmachine/enginekeeper.cs;41;4;164
GM;{TOP}\wizmachine/services/base;wizmachine/services/base/isprworkmanagercore.cs;182;6;1092
GM;{TOP}\wizmachine/services/impl;wizmachine/services/impl/sprworkmanageradvance.cs;252;12;3024
GM;{TOP}\wizmachine/services/impl;wizmachine/services/impl/sprworkmanagercore.cs;591;31;18321
GM;{TOP}\wizmachine/services/utils;wizmachine/services/utils/nativeengine.cs;231;16;3696
GM;{TOP}\wizmachine/utils;wizmachine/utils/bitmaputil.cs;434;11;4774
GM;{TOP}\wizmachine/utils;wizmachine/utils/certmanagerutil.cs;49;3;147
GM;{TOP}\wizmachine/utils;wizmachine/utils/colorutil.cs;62;5;310
GM;{TOP}\wizmachine/utils;wizmachine/utils/extension.cs;225;27;6075
GM;{TOP}\wizmachine/utils;wizmachine/utils/logger.cs;62;9;558
GM;{TOP}\wizmachine/obj/x64/release/net6.0-windows;wizmachine/obj/x64/release/net6.0-windows/wizmachine.assemblyinfo.cs;11;0;11
